rosbagTimestamp,voltages_count,voltages
1479505551097759635,1,[0.09803921729326248]
1479505551197758301,1,[0.09803921729326248]
1479505551297378861,1,[0.09803921729326248]
1479505551397288243,1,[0.09803921729326248]
1479505551497465577,1,[0.09803921729326248]
1479505551597326039,1,[0.0784313753247261]
1479505551697286763,1,[0.09803921729326248]
1479505551797471463,1,[0.09803921729326248]
1479505551897332026,1,[0.09803921729326248]
1479505551997344691,1,[0.09803921729326248]
1479505552097331660,1,[0.09803921729326248]
1479505552197307613,1,[0.09803921729326248]
1479505552297348397,1,[0.09803921729326248]
1479505552397267802,1,[0.09803921729326248]
1479505552497882269,1,[0.09803921729326248]
1479505552597343293,1,[0.09803921729326248]
1479505552697408265,1,[0.0784313753247261]
1479505552797616920,1,[0.0784313753247261]
1479505552897319115,1,[0.09803921729326248]
1479505552997289981,1,[0.09803921729326248]
1479505553097321609,1,[0.09803921729326248]
1479505553197966382,1,[0.09803921729326248]
1479505553297442424,1,[0.09803921729326248]
1479505553397225107,1,[0.09803921729326248]
1479505553497850603,1,[0.09803921729326248]
1479505553597500193,1,[0.09803921729326248]
1479505553697243775,1,[0.0784313753247261]
1479505553797242728,1,[0.09803921729326248]
1479505553897603577,1,[0.09803921729326248]
1479505553997570588,1,[0.09803921729326248]
1479505554097689759,1,[0.09803921729326248]
1479505554197327070,1,[0.0784313753247261]
1479505554297755434,1,[0.09803921729326248]
1479505554397632612,1,[0.09803921729326248]
1479505554497750222,1,[0.09803921729326248]
1479505554597775605,1,[0.0784313753247261]
1479505554697424878,1,[0.0784313753247261]
1479505554797697301,1,[0.0784313753247261]
1479505554897355060,1,[0.09803921729326248]
1479505554997176129,1,[0.09803921729326248]
1479505555097689111,1,[0.09803921729326248]
1479505555197606815,1,[0.0784313753247261]
1479505555297474594,1,[0.09803921729326248]
1479505555397877745,1,[0.0784313753247261]
1479505555497640482,1,[0.09803921729326248]
1479505555597271812,1,[0.09803921729326248]
1479505555697078789,1,[0.09803921729326248]
1479505555797144576,1,[0.09803921729326248]
1479505555897100652,1,[0.09803921729326248]
1479505555997609419,1,[0.09803921729326248]
1479505556097544702,1,[0.09803921729326248]
1479505556197461040,1,[0.09803921729326248]
1479505556296990971,1,[0.09803921729326248]
1479505556397035600,1,[0.0784313753247261]
1479505556498115586,1,[0.09803921729326248]
1479505556597398657,1,[0.09803921729326248]
1479505556697211564,1,[0.09803921729326248]
1479505556797018807,1,[0.09803921729326248]
1479505556897019129,1,[0.09803921729326248]
1479505556997506361,1,[0.0784313753247261]
1479505557097107232,1,[0.09803921729326248]
1479505557197006006,1,[0.0784313753247261]
1479505557297068300,1,[0.09803921729326248]
1479505557397087339,1,[0.09803921729326248]
1479505557496957927,1,[0.0784313753247261]
1479505557596975288,1,[0.09803921729326248]
1479505557696853768,1,[0.09803921729326248]
1479505557796850284,1,[0.09803921729326248]
1479505557896891252,1,[0.09803921729326248]
1479505557997016328,1,[0.09803921729326248]
1479505558097008776,1,[0.09803921729326248]
1479505558197017498,1,[0.09803921729326248]
1479505558296953640,1,[0.09803921729326248]
1479505558396885085,1,[0.09803921729326248]
1479505558496920680,1,[0.09803921729326248]
1479505558596806390,1,[0.09803921729326248]
1479505558696919393,1,[0.09803921729326248]
1479505558796870698,1,[0.0784313753247261]
1479505558896978029,1,[0.09803921729326248]
1479505558996895036,1,[0.09803921729326248]
1479505559097118166,1,[0.09803921729326248]
1479505559196853579,1,[0.0784313753247261]
1479505559296811168,1,[0.09803921729326248]
1479505559396865659,1,[0.09803921729326248]
1479505559497325225,1,[0.09803921729326248]
1479505559596799344,1,[0.0784313753247261]
1479505559696854546,1,[0.09803921729326248]
1479505559797603387,1,[0.09803921729326248]
1479505559896862050,1,[0.09803921729326248]
1479505559996863797,1,[0.09803921729326248]
1479505560097015308,1,[0.09803921729326248]
1479505560196916137,1,[0.09803921729326248]
1479505560296883643,1,[0.09803921729326248]
1479505560396716591,1,[0.09803921729326248]
1479505560496835546,1,[0.0784313753247261]
1479505560596916867,1,[0.09803921729326248]
1479505560697326138,1,[0.0784313753247261]
1479505560796705614,1,[0.09803921729326248]
1479505560896742054,1,[0.09803921729326248]
1479505560996679869,1,[0.09803921729326248]
1479505561096743158,1,[0.09803921729326248]
1479505561196648972,1,[0.09803921729326248]
1479505561296670875,1,[0.09803921729326248]
1479505561396829096,1,[0.09803921729326248]
1479505561496704773,1,[0.09803921729326248]
1479505561596604314,1,[0.09803921729326248]
1479505561696708190,1,[0.09803921729326248]
1479505561796773193,1,[0.09803921729326248]
1479505561896620373,1,[0.09803921729326248]
1479505561996681586,1,[0.09803921729326248]
1479505562096584528,1,[0.09803921729326248]
1479505562196778955,1,[0.09803921729326248]
1479505562296610921,1,[0.09803921729326248]
1479505562396577211,1,[0.09803921729326248]
1479505562496679724,1,[0.09803921729326248]
1479505562596611788,1,[0.09803921729326248]
1479505562696611520,1,[0.09803921729326248]
1479505562796574140,1,[0.0784313753247261]
1479505562896561724,1,[0.09803921729326248]
1479505562996797805,1,[0.09803921729326248]
1479505563096530808,1,[0.09803921729326248]
1479505563196692171,1,[0.09803921729326248]
1479505563296866361,1,[0.09803921729326248]
1479505563396735563,1,[0.09803921729326248]
1479505563496513050,1,[0.09803921729326248]
1479505563596685404,1,[0.09803921729326248]
1479505563696447120,1,[0.09803921729326248]
1479505563796689096,1,[0.09803921729326248]
1479505563896711677,1,[0.09803921729326248]
1479505563996619367,1,[0.0784313753247261]
1479505564096487378,1,[0.09803921729326248]
1479505564196881121,1,[0.09803921729326248]
1479505564296621825,1,[0.09803921729326248]
1479505564396534800,1,[0.09803921729326248]
1479505564496561236,1,[0.09803921729326248]
1479505564596603193,1,[0.09803921729326248]
1479505564696526469,1,[0.09803921729326248]
1479505564796499845,1,[0.0784313753247261]
1479505564896349130,1,[0.0784313753247261]
1479505564996582659,1,[0.09803921729326248]
1479505565096510576,1,[0.09803921729326248]
1479505565196506748,1,[0.09803921729326248]
1479505565296557298,1,[0.09803921729326248]
1479505565396367448,1,[0.09803921729326248]
1479505565496918551,1,[0.09803921729326248]
1479505565596423627,1,[0.09803921729326248]
1479505565696364942,1,[0.09803921729326248]
1479505565796318626,1,[0.09803921729326248]
1479505565896574826,1,[0.09803921729326248]
1479505565996381663,1,[0.09803921729326248]
1479505566096435731,1,[0.09803921729326248]
1479505566196379548,1,[0.09803921729326248]
1479505566296355879,1,[0.09803921729326248]
1479505566396557921,1,[0.09803921729326248]
1479505566496588974,1,[0.11764705926179886]
1479505566596524353,1,[0.09803921729326248]
1479505566696330413,1,[0.09803921729326248]
1479505566796616838,1,[0.09803921729326248]
1479505566896349562,1,[0.09803921729326248]
1479505566996328354,1,[0.09803921729326248]
1479505567096460725,1,[0.09803921729326248]
1479505567196627205,1,[0.09803921729326248]
1479505567296365575,1,[0.0784313753247261]
1479505567396360366,1,[0.09803921729326248]
1479505567496375479,1,[0.0784313753247261]
1479505567596528376,1,[0.09803921729326248]
1479505567696434247,1,[0.09803921729326248]
1479505567796361389,1,[0.09803921729326248]
1479505567896470953,1,[0.09803921729326248]
1479505567996327591,1,[0.09803921729326248]
1479505568096433779,1,[0.09803921729326248]
1479505568196333919,1,[0.09803921729326248]
1479505568296270005,1,[0.09803921729326248]
1479505568396162400,1,[0.09803921729326248]
1479505568496293907,1,[0.11764705926179886]
1479505568596366766,1,[0.09803921729326248]
1479505568696810266,1,[0.09803921729326248]
1479505568796286766,1,[0.09803921729326248]
1479505568896198746,1,[0.09803921729326248]
1479505568996170567,1,[0.09803921729326248]
1479505569096298944,1,[0.09803921729326248]
1479505569196257379,1,[0.09803921729326248]
1479505569296468915,1,[0.09803921729326248]
1479505569396193962,1,[0.09803921729326248]
1479505569496180963,1,[0.09803921729326248]
1479505569596411653,1,[0.09803921729326248]
1479505569696352638,1,[0.09803921729326248]
1479505569796260850,1,[0.09803921729326248]
1479505569896355719,1,[0.0784313753247261]
1479505569996271052,1,[0.09803921729326248]
1479505570096119849,1,[0.09803921729326248]
1479505570196085100,1,[0.09803921729326248]
1479505570296372875,1,[0.0784313753247261]
1479505570396068999,1,[0.09803921729326248]
1479505570496076242,1,[0.09803921729326248]
1479505570596216025,1,[0.09803921729326248]
1479505570696280194,1,[0.09803921729326248]
1479505570796101117,1,[0.09803921729326248]
1479505570896409059,1,[0.09803921729326248]
1479505570996147037,1,[0.0784313753247261]
1479505571096156091,1,[0.09803921729326248]
1479505571196153376,1,[0.09803921729326248]
1479505571295990574,1,[0.0784313753247261]
1479505571396187532,1,[0.09803921729326248]
1479505571496100537,1,[0.09803921729326248]
1479505571596059094,1,[0.09803921729326248]
1479505571696040477,1,[0.09803921729326248]
1479505571796076862,1,[0.09803921729326248]
1479505571896030924,1,[0.09803921729326248]
1479505571995947440,1,[0.09803921729326248]
1479505572096068668,1,[0.09803921729326248]
1479505572196070769,1,[0.09803921729326248]
1479505572296025964,1,[0.09803921729326248]
1479505572396155291,1,[0.09803921729326248]
1479505572495977418,1,[0.09803921729326248]
1479505572595931248,1,[0.09803921729326248]
1479505572695968810,1,[0.09803921729326248]
1479505572796030145,1,[0.09803921729326248]
1479505572895940351,1,[0.0784313753247261]
1479505572995921456,1,[0.09803921729326248]
1479505573095906858,1,[0.09803921729326248]
1479505573196139175,1,[0.0784313753247261]
1479505573296108821,1,[0.09803921729326248]
1479505573396002744,1,[0.09803921729326248]
1479505573495887282,1,[0.0784313753247261]
1479505573595913533,1,[0.09803921729326248]
1479505573696089690,1,[0.09803921729326248]
1479505573795930584,1,[0.09803921729326248]
1479505573896143882,1,[0.11764705926179886]
1479505573995966386,1,[0.09803921729326248]
1479505574095755064,1,[0.09803921729326248]
1479505574196091489,1,[0.09803921729326248]
1479505574295903872,1,[0.0784313753247261]
1479505574395784372,1,[0.0784313753247261]
1479505574495928433,1,[0.09803921729326248]
1479505574595817177,1,[0.09803921729326248]
1479505574695791909,1,[0.09803921729326248]
1479505574795806263,1,[0.09803921729326248]
1479505574895815265,1,[0.09803921729326248]
1479505574995866376,1,[0.09803921729326248]
1479505575095854956,1,[0.09803921729326248]
1479505575195794046,1,[0.09803921729326248]
1479505575295894762,1,[0.09803921729326248]
1479505575395736554,1,[0.09803921729326248]
1479505575496105452,1,[0.09803921729326248]
1479505575595850737,1,[0.09803921729326248]
1479505575695708874,1,[0.09803921729326248]
1479505575795808572,1,[0.09803921729326248]
1479505575896138204,1,[0.09803921729326248]
1479505575995741273,1,[0.0784313753247261]
1479505576095805064,1,[0.09803921729326248]
1479505576195886801,1,[0.09803921729326248]
1479505576296143570,1,[0.09803921729326248]
1479505576395946503,1,[0.09803921729326248]
1479505576495779722,1,[0.09803921729326248]
1479505576595838075,1,[0.09803921729326248]
1479505576695710077,1,[0.09803921729326248]
1479505576795869776,1,[0.09803921729326248]
1479505576895841367,1,[0.09803921729326248]
1479505576995685744,1,[0.09803921729326248]
1479505577095998472,1,[0.09803921729326248]
1479505577195705814,1,[0.09803921729326248]
1479505577295636874,1,[0.09803921729326248]
1479505577395734725,1,[0.09803921729326248]
1479505577495821121,1,[0.09803921729326248]
1479505577595851454,1,[0.09803921729326248]
1479505577695642437,1,[0.09803921729326248]
1479505577795599311,1,[0.0784313753247261]
1479505577895607388,1,[0.09803921729326248]
1479505577995637521,1,[0.0784313753247261]
1479505578095588406,1,[0.09803921729326248]
1479505578195557325,1,[0.09803921729326248]
1479505578295553227,1,[0.09803921729326248]
1479505578395632023,1,[0.09803921729326248]
1479505578495576622,1,[0.09803921729326248]
1479505578595870066,1,[0.0784313753247261]
1479505578695613344,1,[0.09803921729326248]
1479505578795521758,1,[0.09803921729326248]
1479505578895802996,1,[0.09803921729326248]
1479505578995581325,1,[0.09803921729326248]
1479505579095469761,1,[0.09803921729326248]
1479505579195740063,1,[0.09803921729326248]
1479505579295520871,1,[0.09803921729326248]
1479505579395610107,1,[0.09803921729326248]
1479505579495509905,1,[0.05882352963089943]
1479505579595594338,1,[0.09803921729326248]
1479505579695462990,1,[0.09803921729326248]
1479505579795454635,1,[0.0784313753247261]
1479505579895668359,1,[0.09803921729326248]
1479505579995600322,1,[0.09803921729326248]
1479505580095575689,1,[0.09803921729326248]
